latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
29.1717,21.42994,323.67,0.52,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,282.06,3.52,N
29.19005,21.53057,338.72,0.53,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,281.77,3.71,N
29.19112,21.43073,329.01,0.52,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,282.39,2.96,N
29.19128,21.53028,333.49,0.53,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,282.9,3.75,N
29.19252,21.42539,295.97,0.52,0.67,2024-12-01,111,N,VIIRS,n,2.0NRT,280.95,2.91,N
29.22766,19.69736,367,0.42,0.61,2024-12-01,111,N,VIIRS,h,2.0NRT,279.46,7.63,N
29.2287,19.69311,302.71,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,278.97,6.77,N
29.2308,19.70065,322.97,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,280.68,15.55,N
29.23187,19.6964,367,0.42,0.61,2024-12-01,111,N,VIIRS,h,2.0NRT,286.86,15.55,N
29.23312,19.69921,352.75,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,285.74,15.76,N
29.23416,19.69494,317.53,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,280.15,13.16,N
29.32211,19.77421,298.75,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,279.77,0.8,N
29.3232,19.76989,304.88,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,279.54,0.8,N
29.3253,19.77354,319.81,0.42,0.61,2024-12-01,111,N,VIIRS,n,2.0NRT,280.12,1.17,N
29.44395,17.97009,297.69,0.33,0.55,2024-12-01,111,N,VIIRS,n,2.0NRT,278.85,0.52,N
29.48382,17.93596,295.76,0.32,0.55,2024-12-01,111,N,VIIRS,n,2.0NRT,279.83,0.3,N
30.40164,19.61305,299.91,0.39,0.59,2024-12-01,111,N,VIIRS,n,2.0NRT,282.17,0.93,N
30.40548,19.59753,300.14,0.39,0.59,2024-12-01,111,N,VIIRS,n,2.0NRT,282.23,0.81,N
30.82306,8.03187,295.02,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,279.19,0.52,N
31.00452,10.06079,297.57,0.39,0.37,2024-12-01,111,N,VIIRS,n,2.0NRT,277.22,0.75,N
31.00834,8.17163,297.25,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,279.45,0.51,N
31.01225,8.16829,297.79,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,281.74,0.99,N
31.01286,8.16428,298.93,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,278.91,0.87,N
31.05292,8.03564,302.61,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,278.84,1.8,N
31.05623,8.03632,333.91,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,283.03,1.8,N
31.05685,8.03229,301.53,0.39,0.36,2024-12-01,111,N,VIIRS,n,2.0NRT,280.87,1.97,N
